Название фильма,Страны,Режиссер,Жанр,Год
Акулий торнадо 4: Пробуждение,США,Энтони Ферранте,комедийный научно-фантастический фильм ужасов; фильм-катастрофа,2016
Акулий торнадо 5: Глобальное роение,США,Энтони Ферранте,комедийныйнаучно-фантастическийфильм ужасовфильм-катастрофа,2017
Акулосьминог,США,Деклан О’Брайен,ужасыфантастикабоевиккомедия,2010
Акулы (фильм),США Израиль  ЮАР,Боб Мисиоровски,боевик фильм ужасов триллер,1999
Акция (фильм),СССР,Владимир Шамшурин,военный фильм,1987
Алавердоба (фильм),СССР,Георгий Шенгелая,притча,1962
"Аладдин (фильм, 2019)",США,Гай Ричи,"комедия, мюзикл, фэнтези, приключения, мелодрама",2019
Аладдин и его волшебная лампа,США,Тим Бёртон,приключенческий фильм комедия семейный фильм фэнтези,1986
Аламо (фильм),США,Джон Ли Хэнкок,Драмаисторический фильмвоенный фильмвестерн,2004
Алан Партридж: Альфа Отец,Великобритания Франция,Деклан Лоуни,комедия,2013[1]
Аланис (фильм),Аргентина,Анаи Бернери[d][1],драматический фильм,"21 сентября 2017, 22 сентября 2017, 2 октября 2017 и 9 сентября 2017"
"Алая буква (фильм, 1911)",США,Джозеф В. СмайлиДжордж Лоан Такер,драматический фильм,1911
"Алая буква (фильм, 1926)",США,Виктор Шёстрём,драма,1926
"Алая буква (фильм, 1973)",ФРГ Испания,Вим Вендерс,мелодрама,1973
"Алая буква (фильм, 1995)",США,Ролан Жоффе,драма / мелодрама,1995
"Алая буква (фильм, 2004)",Республика Корея,Пён Хёк,Драма,2004
Алая женщина,Франция Италия,Жан Валер,комедия,1969
Алая камелия,Япония,Ёситаро Номура,криминальная драма,1964
"Алая роза (фильм, 1951)",Франция,Марчелло Пальеро,комедия,1951
"Алая роза (фильм, 1963)",Япония,Умэцугу Иноуэ,"Криминальная драма, нуар",1963
Албанец (фильм),Германия Албания,Иоганнес Набер[d][1][2][…],драматический фильм[1][2] и романтический фильм,2010
Алголь (фильм),Германия,Ханс Веркмайст,фантастикадрама,1920
Алджи-золотоискатель,США,Эдвард Уоррен,комедия мелодрама,1912
Алеко (фильм-опера),СССР,Сергей Сиделёв,фильм-опера,1953
Алекс и Эмма,США,Роб Райнер,комедия / мелодрама,2003
Александр (фильм),Франция Германия Великобритания Италия США Нидерланды,Оливер Стоун,"биографическая драма, исторический фильм, пеплум",2004
"Александр Великий (фильм, 1956)",США Испания,Роберт Россен,"пеплум, байопик",1956
"Александр и ужасный, кошмарный, нехороший, очень плохой день",США,Мигель Артета,"комедийный фильм[2][3][…], детский фильм и экранизация",2014
Александр Маленький,СССР ГДР,Владимир Фокин,"драма, военный",1981
Александр Невский (фильм),СССР,Сергей ЭйзенштейнДмитрий Васильев,киноэпопеядрамавоенныйисторический,1938
Александр Пархоменко (фильм),СССР,Леонид Луков,Киноповесть,1942
Александр Попов (фильм),СССР,"Герберт Раппапорт,Виктор Эйсымонт",кинобиография,1949
Александр. Невская битва,Россия,Игорь Калёнов,исторический фильмбоевик,2008
Александра (фильм),Россия,Александр Сокуров,драма,2007
Алексеич,,Людмила Салдадзе,"новелла, киноповесть, экранизация",1970
Алёнка (фильм),СССР,Борис Барнет,комедия,1961
Алёнка из Почитанки,Россия,Сергей Русаков,"комедия, мелодрама",2014
Аленький цветочек (фильм),СССР,Ирина Поволоцкая,фильм-сказка и экранизация литературного произведения[d],1977 и 25 августа 1978
Алёша (фильм),СССР,Виктор Обухов,драмамелодрама,1980
Алёша Птицын вырабатывает характер,СССР,Анатолий Граник,"комедия, детский",1953
Алёша-доброволец,Российская империя,Б.С.Глаголин,драма,1914
Алёшкина любовь,СССР,"Семён Туманов,  Георгий Щукин",Мелодрама,1960
Алёшкина охота,СССР,Яков Базелян,Киноповесть,1965
Алжир (фильм),США,Джон Кромвелл,драма,1938
Али (фильм),США,Майкл Манн,драмабиографияспорт,2001
Али Джи в парламенте,Великобритания   США   Франция,Марк Майлод,Фарсовая комедия  сатира,2002
"Али и Нино (фильм, 2016)",Азербайджан Великобритания,Асиф Кападиа,драматический фильм,2016
Али-Баба и сорок разбойников (спектакль),СССР,Олег Рябоконь,сказка/мюзикл,1983
"Али-Баба и сорок разбойников (фильм, 1902)",Франция,Сегундо де ШомонФернан Зекка,приключенческий фильмфильм-сказка,1902
"Али-Баба и сорок разбойников (фильм, 1966)",Индия,Хоми Вадия[en],,1966
Али-Баба против семи сарацинов,Италия,Эмиммо Сальви,приключенческий фильм,1964
"Али, рули!",США,Майкл Даус,"боевик, комедия, бадди-муви",2019
"Алиби (фильм, 1929)",США,Роланд Уэст,криминальный фильм,1929
"Алиби (фильм, 1931)",Великобритания,Лесли Хискотт,детектив,1931
"Алиби (фильм, 1937)",Франция,Пьер Шеналь[1],фильм-тайна и криминальный фильм,1937
"Алиби (фильм, 2006)",США,Мэтт Чековски Курт Маттила,комедия драма мелодрама,2006
Алим — крымский разбойник,Российская империя,Вячеслав Висковский,драма,1914[1] 1916[2]
Алим (фильм),СССР,Георгий Тасин,немое кино и драматический фильм,1926
"Алиса (фильм, 1998)",Франция,Дидье Гольдшмидт[d],криминальный фильм,1998
"Алиса (фильм, 2002)",Франция  Великобритания,Sylvie Ballyot,драма,2002
Алиса в городах,Германия,Вим Вендерс,драма,1974 и 17 мая 1974[1]
"Алиса в Зазеркалье (фильм, 1998)",Великобритания,Джон Хендерсон,фэнтезиприключениясемейный,
"Алиса в Зазеркалье (фильм, 2016)","США, Алиса в Стране чудес",Джеймс Бобинruen,фэнтезиприключениясемейный фильм,2016
"Алиса в Стране чудес (фильм, 1903)",Великобритания,Сесиль Хепуорт Перси Стоу,фэнтези,1903
"Алиса в Стране чудес (фильм, 1915)","Алиса в Стране чудес, ",В.В. Янг,фэнтези,1915
"Алиса в Стране чудес (фильм, 1933)","Алиса в Зазеркалье и Алиса в Стране чудес, США",Норман Маклеод,детский,1933
"Алиса в Стране чудес (фильм, 1972)","Алиса в Стране чудес и Алиса в Зазеркалье, Великобритания",Уильям Стерлинг,семейный фильм,1972
"Алиса в Стране чудес (фильм, 1976)","Алиса в Стране чудес, США",Бад Таунсенд,порнографическиймузыкальный,10 декабря 1976[1]
"Алиса в Стране чудес (фильм, 1985)","Алиса в Стране чудес и Алиса в Зазеркалье, США",Гарри Харрис,приключенческий фильм семейный фильм фэнтези,
"Алиса в Стране чудес (фильм, 1999)","Алиса в Стране чудес, США Германия Великобритания[1]",Ник Уиллинг,фэнтезисемейный фильмприключенческий фильм,
"Алиса в Стране чудес (фильм, 2010)","сказок Льюиса Кэрролла «Алиса в Стране чудес» и «Алиса в Зазеркалье», США",Тим Бёртон,"фэнтези
приключения
семейный",2010
Алиса здесь больше не живёт,США,Мартин Скорсезе,"драма, романтика, трагикомедия",1974
Алиса и Букинист,Россия,Алексей Рудаков,мелодрама приключения,1992
Алиса и укус пчелы,США,Уолт Дисней,кинокомедия,1925
"Алиса на море (фильм, 1924)","США, Страна чудес Алисы (фильм, 1923)",Уолт Дисней,кинокомедия,1924
"Алиса, или Последний побег","Алиса в Стране чудес, Франция",Клод Шаброль,драмафэнтезитриллер,1977
Алита: Боевой ангел,США[2],Роберт Родригес,"антиутопия, боевик, киберпанк",2019
Алитет уходит в горы (фильм),СССР,Марк Донской,драма,1949
Алишань (фильм),Канада,Юнг Чанг,документальный фильм,2009
Алишер Навои (фильм),СССР,Камиль Ярматов,историческая драма,1947
"Алкали, Айова",США,Марк Кристофер,драма,1996
Алла Пугачёва. Тот самый концерт,Россия,"Филипп Григорьян, Татьяна Гулина",киноконцерт,2019
Аллажар,Казахстан,Калдыбай Абенов,драма,1993[уточнить]
Аллан Куотермейн и потерянный город золота,США,Гэри Нельсонruen,"приключения, боевик, комедия",1986
Аллегро (фильм),Дания,Кристоффер Боэ,драмафантастика,2005
Аллегро с огнём,СССР,Владимир Стрелков,военный фильмдрама,1980
Аллен против Фэрроу,США,Кирби Дик[d]Эми Зиринг Кофман[d],телевизионный документальный фильм,2021
"Аллея кошмаров (фильм, 1947)",США,Эдмунд Гулдинг,драмафильм нуар,1947
"Аллея кошмаров (фильм, 2021)",США Мексика,Гильермо дель Торо,триллернуардрама,2021
Аллея чудес,Мексика,Хорхе Фонс,драма,1995
Аллигатор (фильм),США,Льюис Тиг,ужасы,"14 ноября 1980[1], 22 января 1981[1], 1 апреля 1981[1], 4 апреля 1981[1], 8 мая 1981[1], 27 мая 1981[1], 20 июня 1981[1], 30 июля 1981[1], 6 августа 1981[1], 26 августа 1981[1], 17 сентября 1981[1], 15 октября 1981[1], 3 декабря 1981[1], 8 марта 1982[1], 16 июня 1982[1], 17 сентября 1982[1], 3 октября 1982[1], 13 мая 1983[1] и февраль 1984[1]"
Аллигатор 2: Мутация,США,Джон Хесс,ужасы,1991
Аллигатор по имени Дэйзи,Великобритания,Джей Ли Томпсон,комедия,1955
"Аллилуйя (фильм, 2014)",Франция Бельгия,Фабрик Дю Вельц[d][1][2],драматический фильм,2014
"Алло, Варшава!",СССР,Ольгерд Воронцов,музыкальная комедия,1971
"Алло, колл-центр слушает!",Индия,Атул Агнихотри,мелодрама,2008
"Алмаз (фильм, 2010)",Кыргызстан,Эльнура Осмоналиева,документальный,май 2010
Алмаз Брахмы,США,Дэвид Уорк Гриффит,драматический фильм,1909
Алмазная тропа,СССР   ФРГ,Владимир Хмельницкий,кинодрама,1978
Алмазы (фильм),СССР,Иван ПравовАлександр Оленин,драма,1947
Алмания — Добро пожаловать в Германию,Германия,Ясмин Самдерели[d][5],"драматический фильм[4], комедийная драма и комедийный фильм",12 февраля 2011[1] и 10 марта 2011[2][3]
Алмас (фильм),СССР/ Азербайджанская ССР,"Ага-Рза Кулиев, Григорий Брагинский",драма,1936
Алое и чёрное,США Великобритания Италия,Джерри Лондон,драма,1983
Алоха (фильм),США,Кэмерон Кроу,"драма,комедия,мелодрама",2015
Алпамыс идёт в школу,СССР,Абдулла Карсакбаев,Детский фильм,1976
"Алукарда, дочь тьмы",Мексика,Хуан Лопез Моктезума,"Ужасы, Эротика",1977
"Алхимик (фильм, 1989)",Польша,Яцек Копрович,фэнтези,1989
Алхимики (фильм),Россия   Болгария   Белоруссия,Дмитрий Астрахан,"комедия, фантастика",2000
"Алчность (фильм, 1924)",США,Эрих фон Штрогейм,мистическая драма,1924
Алые маки Иссык-Куля,СССР,Болотбек Шамшиев,"истерн, боевик",1971
"Алые паруса (фильм, 2001)",Чехия,"Петр Форман, Мирослав Янек","документальный, комедия",2001
Алые паруса (фильм),СССР,Александр Птушко,мелодрама,1961
Алые розы,Италия,"Джузеппе Амато, Витторио Де Сика",комедия,1940
"Алый знак доблести (фильм, 1951)",США,Джон Хьюстон,драмавоенный фильм,1951
"Алый знак доблести (фильм, 1974)",США,Ли Филипс,драма военный фильм вестерн,
Алый камень,СССР,Валерий Исаков,Мелодрама,1986
"Алый первоцвет (фильм, 1934)",Великобритания,Харольд  Янг,приключенческий фильмфильм плаща и шпаги,1934
"Алый первоцвет (фильм, 1982)",Великобритания,Клайв Доннер[d],"драматический фильм, экранизация романа[d] и фильм плаща и шпаги",1982
Алый час,США,Майкл Кёртис,Фильм нуар,1956
Аль Капоне (фильм),США,Ричард Уилсон,гангстерский фильмфильм-биография,1959
Аль-Кадисия (фильм),Египет Ирак,Салах Абу Сейф,историческая драма,1981
Альба Регия (фильм),Венгрия,Михай Семеш[hu],"драма, мелодрама, военный",1961
Альбино Аллигатор,Франция США,Кевин Спейси,"неонуар, криминальный фильм[1] и драматический фильм[1]",1996
Альма и Оскар,Австрия Германия Швейцария Чехия,Дитер Бернер,драмабиография,20 ноября 2022[1]
Альманах сатиры и юмора,СССР,Александр Белинский,комедия,1980
Альпийская баллада (фильм),СССР,Борис Степанов,военная драма,1965
Альпы (фильм),Греция,Йоргос Латимос,драма,2011
"Альрауне (фильм, 1930)",Германия,Рихард Освальд[1],"фильм ужасов, научно-фантастический фильм, драматический фильм и эротический фильм",1930
Альрауне (фильм),Германия,Хенрик Галеен,драмафантастика,1928
Альтамира (фильм),Испания,Хью Хадсон,фильм-биография драма исторический фильм,2016
Альфа (фильм),США,Альберт Хьюз,историческийбоевиктриллер,2018
Альфа Дог,США,Ник Кассаветис,драма криминальный фильм фильм-биография,2006
Альфавиль,Италия Франция,Жан-Люк Годар,антиутопический неонуар,Жан-Люк Годар
Альфонс (фильм),Россия,Владимир Златоустовский,комедия,1993
"Альфредо, Альфредо",Италия,Пьетро Джерми,комедия,1972
Алюминиевые человечки,США,Барри Левинсон,комедиядрама,1987
"Аляска (фильм, 2015)",Италия Франция,Клаудио Купеллини[d][1][2],драматический фильм,2015
"Аляска, сэр!",Россия,Вячеслав Ребров,"детектив, приключения",1992
Амаара: Песнь китов,Германия,Себастьян Йобст,документальный фильм,2021
Амадей (фильм),США,Милош Форман,фильм-биографиядрамамузыкальный фильм,1984
"Амазония (фильм, 2000)",Франция,Филипп де Брока,"комедия, фантастика, приключения",2000
Амазонка в огне,Перу  США,Луис Льоса,"драма, приключения",1993
Амазонки на Луне,США,"Джо Данте, Джон Лэндис, Карл Готлиб, Питер Хортон, Роберт К. Уайсс","фантастика, скетч-шоу",1987
Амайа. Дитя вампира,,Игорь Легаррета[d],"драматический фильм, фэнтезийный фильм и фильм о вампирах",2021
"Аманат (фильм, 2015)",Казахстан,Сатыбалды Нарымбетов,Драма,2015
"Аманат (фильм, 2022)",Россия,Антон СиверсРауф Кубаев,"биография, история, военный, драма",2022
Амангельды (фильм),СССР,Моисей Левин,историческая драма,1938
"Аманда (фильм, 2022)",Италия,Каролина Кавалли[d],драматический фильм[2],5 сентября 2022 и 13 октября 2022
Аманда и инопланетянин,США,Джон Кролл,фантастикакомедия,
Аманда ночью,США,Гэри Грейвер,"порнофильм, криминальная драма, триллер[1]",1981
"Амар, Акбар, Антони",Индия,Манмохан Десаи[en],"комедия,",1977
Амаркорд (фильм),Италия — Франция,Федерико Феллини,комедиядрама,1973
Амбивалентность (фильм),Россия,Антон Бильжо,триллердрама,2019
Амбициозная кунгфуистка,Гонконг,Лу Цзюньгу,боевикприключенческий фильм,1981
Амели,Франция[2][3],Жан-Пьер Жёне,романтическая комедия,2001
Амелия (фильм),США  Канада,Мира Наир,биографиядрамамелодрама,2009
"Америка (фильм, 2010)",Испания Португалия Россия Бразилия,Жуан Нуно Пинту,Криминальная драма,2010
Америка-3000,США,Дэвид Энгельбах,постапокалиптика,1986
"Америка, Америка",США,Элиа Казан,"драма, мистика",1963
Американа (фильм),США,Дэвид Кэррадайн,драма,1983
"Американец (фильм, 2010)",США,Антон Корбейн,драма / криминальный фильм,2010
"Американец (фильм, 2022)",Армения,Майкл А. Гурджиан[d],драматический фильм,2022
Американец в Париже (фильм),США,Винсент Миннелли,"музыкальный фильм

мелодрама",1951
Американец в Риме,Италия,Стено,комедия,1954
Американизация Эмили,США,Артур Хиллер,"драма, комедия, военный, мелодрама, экранизация",1964
Американизируй меня,США,Эдвард Джеймс Олмос,драма,1992
"Американка (фильм, 1997)",Россия,Дмитрий Месхиев,"драма, трагикомедия",1997
"Американка (фильм, 2019)",Канада США,Семи Челлас,драма,2019
Американская басня,США,Энн Хэмилтон,триллер,2016
Американская готика (фильм),"Великобритания
 Канада",Джон Хаф[en],"ужасы
триллер",1987
Американская девочка,США,Джордан Брэйди[d][1],"подростковый фильм, комедийный фильм, драматический фильм и ЛГБТ-фильм[d]",2002
Американская дочь,Россия США,Карен Шахназаров,трагикомедияроуд-муви,1995
"Американская жестокость (фильм, 2017)",США,Тимоти Вудворд мл.,криминальный фильм и драматический фильм,2016
Американская звезда,США,Гонсало Лопес-Гальего[d],триллер,2024
Американская интрижка,США,Уильям Олсон,комедиядрама,2008
Американская история Икс,США,Тони Кэй,драма,1998
Американская мечта (фильм),США,Пол Вайц,комедиямузыка,2006
Американская милашка,Великобритания США,Андреа Арнольд,Роуд-муви,2016
Американская Мэри,Канада,Джен СоскаСильвия Соска,фильм ужасовтриллер,2012
Американская ночь,Франция Италия,Франсуа Трюффо,трагикомедия,1973
Американская пастораль,США,Юэн Макгрегор,"драма, криминал",2016
Американская рапсодия,США Венгрия,Эва Гардос[d],"биографический фильм, история взросления и драматический фильм[1][2][…]",2001
Американская сказка,США,Дэвид Цукер,фэнтезикомедия,2008
"Американская трагедия (фильм, 1931)",США,Джозеф фон Штернберг,драматический фильм,1931
"Американская трагедия (фильм, 1981)",СССР,Марийонас Гидрис,драма,
"Американская трагедия (фильм, 2000)",США,Лоуренс Шиллер[en],судебная драма,
Американские бродяги,США,Майкл Коверт,комедияроуд-мувибоевик,1996
Американские горки (фильм),США,Джеб Стюарт,"криминальная драма, триллер, боевик",1997
Американские граффити,США,Джордж Лукас,комедийная драмаистория взросления,1973
Американские детки,США,Джош Столберг,Комедия Драма,2005
Американские животные,Великобритания США,Барт Лэйтон,криминальная драма,2018
Американские молнии,США,Джон Бэдэм,спортивный драматический фильм,1985
Американские приключения,Гонконг,Саммо ХунЛау Кавин[en],боевикприключенческий фильмисторический фильм,1997
Американский боевой корабль,США,Тандер Левин[d],"мокбастер[3][4], научно-фантастический фильм, боевик[5], вторжение пришельцев, фильм-триллер и военный фильм",5 июля 2012[1][2] и 2012
Американский грайндхаус,США,Элайджа Дреннер,документальный,2010
Американский дедушка,Россия,Иван Щёголев,Комедия,1993
Американский друг,ФРГ — Франция,Вим Вендерс,драма,1977
Американский дьявол,США,Эш Эвилдсен,триллер,2017
Американский жиголо,США,Пол Шредер,мелодрама,1980
Американский киборг: Стальной воин,США,Боаз Дэвидсон,боевикпостапокалиптика,1993
Американский неудачник,США,Эндрю Эрвин[en]Джон Эрвин[en],биографическийспорт,2021
Американский ниндзя,США  Филиппины,Сэм Фёрстенберг,боевик,1985
Американский ниндзя 2: Столкновение,США,Сэм Фёрстенберг,боевик,1985
Американский ниндзя 3: Кровавая охота,США,Седрик Сандстром,боевик,1989
Американский ниндзя 4: Разрушение,США,Седрик Сандстром,боевик,1991
Американский ниндзя 5,США,Бобби Джин Леонард,боевик,1993
Американский оборотень в Лондоне,США[4] Великобритания[4],Джон Лэндис,комедийный фильм ужасов,1981
Американский оборотень в Париже,США[4] Великобритания Франция[4] Нидерланды[4] Люксембург[4],Энтони Уоллерruen,комедийный фильм ужасов,1997
Американский огурчик,США,Брэндон Трост[en],кинокомедия,2020
Американский пирог,США,Пол ВайцКрис Вайц,комедия,1999
Американский пирог 2,США,Джеймс Роджерс,Комедия,2001
Американский пирог 4: Музыкальный лагерь,США,Стив Рэш,комедия,2005
Американский пирог 5: Голая миля,США  Канада,Джо Нуссбаум,кинокомедия,2006
Американский пирог 6: Переполох в общаге,США  Канада,Эндрю Уоллер,кинокомедия,2007
Американский пирог 7: Книга любви,"США,  Канада",Джон Путч,комедия,2009
Американский пирог представляет: Правила для девочек,США,Майк Эллиот,комедия,2020
Американский пирог: Все в сборе,США,Хейден ШлоссбергДжон Харвитц,комедия,2012
Американский пирог: Свадьба,США,Джесси Дилан,кинокомедия,2003
Американский президент (фильм),США,Роб Райнер,комедиядрама,1995[2]
Американский психопат (фильм),США Канада,Мэри Хэррон,криминалчёрная комедиятриллер[1],2000
Американский психопат 2,США,Морган Дж. Фриман,"Чёрная комедия[1], слэшер[2][3]",2002
Американский самурай,США,Сэм Ферстенберг,боевик,1992
Американский солдат,ФРГ,Райнер Вернер Фасбиндер,драма,1970
Американское безумие,США,Фрэнк Капра,драматический фильм,1932
Американское преступление (фильм),США,Томми О’Хейвер,"драма, детектив",
Американское сердце,США,Мартин Белл,драма,1992
Американское чтиво,США,Корд Джефферсон[d],драматический фильм,8 сентября 2023 и 3 ноября 2023
Американцы (фильм),США,Джеймс Фоули,драма,1992
Америкэн бой,Украина,Борис Квашнёв,детективный фильм боевиктриллер,1992
"Аминь (фильм, 2002)",Франция Германия Румыния,Коста-Гаврас,Драма,2002
Амистад (фильм),США,Стивен Спилберг[2][3][…],историческая драма,1997
Амитивилль 2: Одержимость,США/ Мексика,Дамиано Дамиани,ужасы / триллер,1982
Амитивилль 3-D,США Мексика,Ричард Флейшер,ужасы / триллер,1983
Амитивилль 4: Зло спасается,США,Сэндэр Стерн,ужасы / триллер,1989
Амитивилль 6: Проклятые часы,США,Тони Рэндл,фильм ужасов,1992
Амитивилль 7: Новое поколение,США,Джон Марловски,фильм ужасов,1993
Амиши (фильм),США,Дэвид Белтон[en] [1],,
Аммонит (фильм),Великобритания Австралия США,Фрэнсис Ли[en],драматический фильм и ЛГБТ-фильм[d],2020
"Амнезия (фильм, 2004)",США Германия,Филип Кауфман,триллер,2004
"Амнезия (фильм, 2019)",США,Александр Черняев,триллер,2019
Аморальное поведение (фильм),Австралия,Джордж Т. Миллер,"драма, триллер",1993
Аморальные истории,Франция,Валериан Боровчик,драма мелодрамаэротика,1974
Аморальный (фильм),ИталияФранция,Пьетро Джерми,комедия,1967
Аморальный мистер Тис,США,Расс Мейер,комедия,1959
Ампир (фильм),СССР,Александр Сокуров,Триллер,1986
Ампир V (фильм),Россия,Виктор Гинзбург,"городское фэнтези, сатира",2023
Амрапали (фильм),Индия,Лекх Тандон,исторический фильмфильм-биографиямузыкальный фильм,1966
Амстердам (фильм),США,Дэвид Оуэн Расселл,"исторический фильм
комедийная драма
мистерия",2022
"Амулет (фильм, 2020)","Великобритания
 ОАЭ",Ромола Гарай,ужасы,2020
Амундсен (фильм),Норвегия,Эспен Сандберг,"исторический, драма, приключения",2019
Амур и демон,Украина,Николай Федюк,драма,1994
Амуры (фильм),Германия,Жак Брюйер,Комедия,1994
Амфетамин (фильм),Гонконг,Скад,драма,2010
Ана и волки,Испания,Карлос Саура,драма,1973
"Ана, любовь моя",Румыния Германия Франция,Калин Питер Нецер[2],драматический фильм,17 февраля 2017 и 24 августа 2017[1]
Аназапта,Великобритания,Альберто Шьямма[d][1],драматический фильм,2001
Анаконда (фильм),США,Луис Льоса,"приключенческий фильм, фильм ужасов, триллер, драма",1997
Анаконда 2: Охота за проклятой орхидеей,США,Дуайт Литтл,природный фильм ужасовприключения,2004
Анаконда 3: Цена эксперимента,США Румыния,Дон Э. Фонтлерой,природный фильм ужасов,2008
Анаконда 4: Кровавый след,США,Дон Э. ФонтЛеРой,природный фильм ужасовфэнтези,2009
Анализируй то,США,Гарольд Рамис,Комедия,2002
Анализируй это,США,Гарольд Рэмис,комедиякриминальный фильм,1999
"Ананасовый экспресс: Сижу, курю",США,Дэвид Гордон Грин,чёрная комедия,2008
Анархистки (фильм),Испания  Италия Бельгия,Висенте Аранда,Историческая драма,1996
Анархисты (фильм),Франция,Эли Важеман,драма,2015
"Анастасия (фильм, 1956)",США,Анатоль Литвак,мелодрама,1956
"Анастасия (фильм, 2008)",Россия,Виктор Лисакович,документальное кино,2008
Анастасия Слуцкая (фильм),Белоруссия,Юрий Елхов,Историческая драма,2003
Анастасия: Загадка Анны,США[1] Австрия Италия,Марвин Чомскиruen,драмаисторический фильм,
Анатомия «Тату»,Россия,Виталий Манский,документальный фильм,2003
Анатомия (фильм),Германия,Штефан Рузовицки,Триллер,2000
Анатомия Грея (фильм),США,Стивен Содерберг,драма,1996
"Анатомия любви (фильм, 1972)",ПНР,Роман Залуский,мелодрама,1972
"Анатомия любви (фильм, 2014)",США,Шана Фест,Романтическая драма,2014
Анатомия любви 2,Индия,Говинд Менон,драматический фильм,2003
Анатомия падения,Франция,Жюстин Трие,драма,2023
Анатомия порока,США,Джозеф Братсмэн,драма,2001
Анатомия протеста,Россия,"Сергей Кисляков, Дмитрий Ларченко, Юрий Устинов",документальное кино,
Анатомия убийства,США,Отто Премингер,юридическая драма,1959
"Анафема (фильм, 1960)",Нет информации,Сергей Гиппиус,"драма, экранизация",1960
Ангар 18,США,Джеймс Л. Конуэй,"фантастика, боевик, триллер",1980
"Ангел (фильм, 1937)",США,Эрнст Любич,"драма, мелодрама","1937, 27 октября 1937[1] и 5 ноября 1937[1]"
"Ангел (фильм, 2007)",Великобритания  Франция  Бельгия,Франсуа Озон,Мелодрама[1],2007
"Ангел (фильм, 2011)",Россия,Дмитрий Фёдоров,драма,2011
"Ангел (фильм, 2018)",Аргентина Испания,Луис Ортега,"драма, криминал биография",2018
Ангел в горах,Чехословакия,Борживой Земан,комедия,1955
Ангел в красном,США Италия,Наннэлли Джонсон,драма,1960
Ангел в отпуске,Чехословакия,Борживой Земан,комедия,1953
Ангел в тюбетейке,СССР,Шакен Айманов,комедия,1968
Ангел для Сатаны,Италия,Камилло Мастрочинкве,фильм ужасов,1966
Ангел за моим столом,Австралия  Новая Зеландия,Джейн Кэмпион,драма,1991
"Ангел мести (фильм, 1995)",США,Крэйг Бэксли,вестерн,1995
"Ангел мести (фильм, 2002)",США Италия,Мартин Бёрк[en],комедиякриминал,2002
"Ангел мести (фильм, 2021)",США,Джордж Галло,боевик  триллер  криминал,2021
Ангел на земле,Германия/Франция,Геза фон Радваньи,комедийный фильм,1959
Ангел освобождённый,США,Ли Мадден,боевик,1970
Ангел правого плеча,Таджикистан Италия Франция,Джамшед Усмонов[2],комедийная драма,24 мая 2002[1]
Ангел Русской церкви против отца всех народов,Россия,Валерий Залотуха,Документальное кино,2005
Ангел с ружьём,Италия,Дамиано Дамиани[1][2],драматический фильм,1992
Ангел света,Австралия,Шейн Эббесс,мистикабоевикужасы,2007
Ангел тьмы,США,Крэйг Р. Бэксли,"боевик, кинофантастика",1990
Ангел-А,Франция,Люк Бессон,мелодрамакомедиянуармагический реализм,2005
Ангел-истребитель,Мексика,Луис Бунюэль,трагикомедия,1962
Ангел-мститель,"США,",Дэвид Касс,"вестерн, боевик, драма,",2007
"Ангел-хранитель (фильм, 2012)",Германия,Тиль Швайгер,боевик  драма,2012
"Ангел-хранитель (фильм, 2014)",Канада,Жан-Себастьян Лорд,"драма, нуар, триллер",2014
Ангелов круче не бывает,США,Джо Виола,боевик,1971
Ангелы ада ’69,США,Ли Мэдден,боевик,1969
"Ангелы ада (фильм, 1930)",США,Говард ХьюзЭдмунд ГулдингДжеймс Уэйл,драма,"1930, 15 ноября 1930[1] и 24 ноября 1930[1]"
"Ангелы ада (фильм, 1968)",США,Брюс Кесслер,боевик,1968
Ангелы ада на колёсах,США,Ричард Раш,боевик,1967
Ангелы Борселлино,Италия,"Чезарео, Рокко",драма,2003
Ангелы Вселенной,Исландия  Германия  Дания  Швеция  Норвегия,Фридрик Тоур Фридрикссон,драма,2000
Ангелы греха,Франция,Робер Брессон,драма,1943
Ангелы и демоны (фильм),США,Рон Ховард,"приключения, триллер",2009
Ангелы и насекомые,США Великобритания,Филип Хаас  (англ.) (рус.,драма,1995
Ангелы падают,США,Ральф Хемекер,триллер / драма / мелодрама,
Ангелы революции,Россия,Алексей Федорченко,романтическая драма,2014
Ангелы с грязными лицами,США,Майкл Кёртис,гангстерская драма,"1938, 26 ноября 1938[1] и 7 мая 1965[1]"
Ангелы смерти (фильм),Россия Сирия,Юрий Озеров,драмавоенный фильм,1993
"Ангелы у кромки поля (фильм, 1994)",США,Уильям Дир,"семейный фильм, комедия",1994
"Ангелы Чарли (фильм, 2000)",США,Макджи,приключениякомедиябоевик,2000
"Ангелы Чарли (фильм, 2019)",США,Элизабет Бэнкс,"комедия, боевик, криминал",2019
Ангелы Чарли: Только вперёд,США,Макджи,боевикприключенческий фильмкомедия,2003
Ангелы-хранители (фильм),Канада,Джон Хэсс,триллер,1988
Ангельские глазки (фильм),США,Роберт Хармон,драма,1991
Ангельское лицо,США,Отто Премингер,нуармелодрама триллер,1952
Английский вальс (фильм),СССР,Гитис Лукшас,"мелодрама, экранизация",1982
Английский пациент (фильм),"Великобритания
 США",Энтони Мингелла,"драма
мелодрама",1996 и 27 февраля 1997[3]
Английский цирюльник,Великобритания Германия США,Пэдди Бретнэк,комедия,2001
